stpcpy.inline,args:[i8*;i8*;],ret:i8*
usage,args:[i32;],ret:void
emit_ancillary_info,args:[i8*;],ret:void
main,args:[i32;i8**;],ret:i32
memcpy.inline,args:[i8*;i8*;i64;],ret:i8*
process_files,args:[i8**;i32;],ret:i1
process_file,args:[%struct.FTS*;%struct._ftsent*;],ret:i1
chmodat,args:[i32;i8*;i32;],ret:i32
mode_changed,args:[i32;i8*;i8*;i32;i32;],ret:i1
describe_change,args:[i8*;%struct.change_status*;],ret:void
blake2b_init_param,args:[%struct.blake2b_state__*;%struct.blake2b_param__*;],ret:i32
blake2b_init0,args:[%struct.blake2b_state__*;],ret:void
load64,args:[i8*;],ret:i64
blake2b_init,args:[%struct.blake2b_state__*;i64;],ret:i32
store32,args:[i8*;i32;],ret:void
memset.inline,args:[i8*;i32;i64;],ret:i8*
blake2b_init_key,args:[%struct.blake2b_state__*;i64;i8*;i64;],ret:i32
memcpy.inline,args:[i8*;i8*;i64;],ret:i8*
blake2b_update,args:[%struct.blake2b_state__*;i8*;i64;],ret:i32
secure_zero_memory,args:[i8*;i64;],ret:void
blake2b_increment_counter,args:[%struct.blake2b_state__*;i64;],ret:void
blake2b_compress,args:[%struct.blake2b_state__*;i8*;],ret:void
blake2b_final,args:[%struct.blake2b_state__*;i8*;i64;],ret:i32
blake2b_is_lastblock,args:[%struct.blake2b_state__*;],ret:i32
blake2b_set_lastblock,args:[%struct.blake2b_state__*;],ret:void
store64,args:[i8*;i64;],ret:void
blake2b,args:[i8*;i64;i8*;i64;i8*;i64;],ret:i32
blake2,args:[i8*;i64;i8*;i64;i8*;i64;],ret:i32
rotr64,args:[i64;i32;],ret:i64
blake2b_set_lastnode,args:[%struct.blake2b_state__*;],ret:void
usage,args:[i32;],ret:void
emit_stdin_note,args:[],ret:void
emit_mandatory_arg_note,args:[],ret:void
emit_ancillary_info,args:[i8*;],ret:void
main,args:[i32;i8**;],ret:i32
ptr_align,args:[i8*;i64;],ret:i8*
bad_cast,args:[i8*;],ret:i8*
digest_check,args:[i8*;],ret:i1
digest_file,args:[i8*;i32*;i8*;i8*;i64*;],ret:i1
getline,args:[i8**;i64*;%struct._IO_FILE*;],ret:i64
split_3,args:[i8*;i64;i8**;i64*;i32*;i8**;],ret:i1
problematic_chars,args:[i8*;],ret:i1
putchar_unlocked,args:[i32;],ret:i32
print_filename,args:[i8*;i1;],ret:void
b64_equal,args:[i8*;i8*;],ret:i1
hex_equal,args:[i8*;i8*;],ret:i1
feof_unlocked,args:[%struct._IO_FILE*;],ret:i32
ferror_unlocked,args:[%struct._IO_FILE*;],ret:i32
select_plural,args:[i64;],ret:i64
algorithm_from_tag,args:[i8*;],ret:i64
bsd_split_3,args:[i8*;i64;i8**;i64*;i8**;i1;],ret:i1
c_isxdigit,args:[i32;],ret:i1
valid_digits,args:[i8*;i64;],ret:i1
filename_unescape,args:[i8*;i64;],ret:i8*
isbase64,args:[i8;],ret:i1
isubase64,args:[i8;],ret:i1
c_tolower,args:[i32;],ret:i32
md5_sum_stream,args:[%struct._IO_FILE*;i8*;i64*;],ret:i32
sha1_sum_stream,args:[%struct._IO_FILE*;i8*;i64*;],ret:i32
sha224_sum_stream,args:[%struct._IO_FILE*;i8*;i64*;],ret:i32
sha256_sum_stream,args:[%struct._IO_FILE*;i8*;i64*;],ret:i32
sha384_sum_stream,args:[%struct._IO_FILE*;i8*;i64*;],ret:i32
sha512_sum_stream,args:[%struct._IO_FILE*;i8*;i64*;],ret:i32
blake2b_sum_stream,args:[%struct._IO_FILE*;i8*;i64*;],ret:i32
sm3_sum_stream,args:[%struct._IO_FILE*;i8*;i64*;],ret:i32
output_file,args:[i8*;i32;i8*;i1;i1;i8;i1;i64;],ret:void
putc_unlocked,args:[i32;%struct._IO_FILE*;],ret:i32
blake2b_stream,args:[%struct._IO_FILE*;i8*;i64;],ret:i32
fread.inline,args:[i8*;i64;i64;%struct._IO_FILE*;],ret:i64
bsd_sum_stream,args:[%struct._IO_FILE*;i8*;i64*;],ret:i32
ferror_unlocked,args:[%struct._IO_FILE*;],ret:i32
feof_unlocked,args:[%struct._IO_FILE*;],ret:i32
memcpy.inline,args:[i8*;i8*;i64;],ret:i8*
sysv_sum_stream,args:[%struct._IO_FILE*;i8*;i64*;],ret:i32
output_bsd,args:[i8*;i32;i8*;i1;i1;i8;i1;i64;],ret:void
__bswap_16,args:[i16;],ret:i16
putc_unlocked,args:[i32;%struct._IO_FILE*;],ret:i32
putchar_unlocked,args:[i32;],ret:i32
output_sysv,args:[i8*;i32;i8*;i1;i1;i8;i1;i64;],ret:void
crc_sum_stream,args:[%struct._IO_FILE*;i8*;i64*;],ret:i32
cksum_slice8,args:[%struct._IO_FILE*;i64*;i64*;],ret:i1
memcpy.inline,args:[i8*;i8*;i64;],ret:i8*
output_crc,args:[i8*;i32;i8*;i1;i1;i8;i1;i64;],ret:void
__bswap_32,args:[i32;],ret:i32
putc_unlocked,args:[i32;%struct._IO_FILE*;],ret:i32
putchar_unlocked,args:[i32;],ret:i32
feof_unlocked,args:[%struct._IO_FILE*;],ret:i32
ferror_unlocked,args:[%struct._IO_FILE*;],ret:i32
usage,args:[i32;],ret:void
emit_ancillary_info,args:[i8*;],ret:void
main,args:[i32;i8**;],ret:i32
compare_files,args:[i8**;],ret:void
ferror_unlocked,args:[%struct._IO_FILE*;],ret:i32
writeline,args:[%struct.linebuffer*;i32;],ret:void
check_order,args:[%struct.linebuffer*;%struct.linebuffer*;i32;],ret:void
putc_unlocked,args:[i32;%struct._IO_FILE*;],ret:i32
write_error,args:[],ret:void
usage,args:[i32;],ret:void
emit_mandatory_arg_note,args:[],ret:void
emit_update_parameters_note,args:[],ret:void
